timestamp,event,detail
2025-10-11 07:29:20,end,disk_io | PID=34040
2025-10-11 07:31:20,start,memory_load | PID=40784 | python stressors\mem_stress.py --step_mb 600 --steps 12 --sleep 10
2025-10-11 07:43:01,start,cpu_spike | PID=21196 | python stressors\cpu_stress.py --procs 8 --duration 1200
2025-10-11 07:49:47,start,cpu_spike | PID=36460 | python stressors\cpu_stress.py --procs 4 --duration 1200
2025-10-11 07:51:20,end,memory_load | PID=40784
2025-10-11 07:52:27,start,cpu_spike | PID=36056 | python stressors\cpu_stress.py --procs 6 --duration 900
2025-10-11 07:52:27,start,memory_load | PID=38144 | python stressors\mem_stress.py --step_mb 500 --steps 12 --sleep 10
2025-10-11 07:55:27,start,cpu_spike | PID=37372 | python stressors\cpu_stress.py --procs 8 --duration 600
2025-10-11 07:55:27,start,memory_load | PID=5552 | python stressors\mem_stress.py --step_mb 300 --steps 12 --sleep 10
2025-10-11 08:00:12,start,cpu_spike | PID=29776 | python stressors\cpu_stress.py --procs 8 --duration 1200
2025-10-11 08:02:12,start,cpu_spike | PID=41268 | python stressors\cpu_stress.py --procs 6 --duration 300
2025-10-11 08:03:01,end,cpu_spike | PID=21196
2025-10-11 08:05:27,end,cpu_spike | PID=37372
2025-10-11 08:05:27,end,memory_load | PID=5552
2025-10-11 08:07:12,end,cpu_spike | PID=41268
2025-10-11 08:07:27,end,cpu_spike | PID=36056
2025-10-11 08:09:47,end,cpu_spike | PID=36460
2025-10-11 08:12:27,end,memory_load | PID=38144
2025-10-11 08:20:12,end,cpu_spike | PID=29776
2025-10-11 08:22:12,start,disk_io | PID=14932 | python stressors\disk_stress.py --size_mb 2000 --block_mb 5
2025-10-11 08:30:50,start,cpu_spike | PID=37284 | python stressors\cpu_stress.py --procs 4 --duration 300
2025-10-11 08:30:50,start,cpu_spike | PID=40908 | python stressors\cpu_stress.py --procs 8 --duration 600
2025-10-11 08:32:02,start,memory_load | PID=39016 | python stressors\mem_stress.py --step_mb 300 --steps 12 --sleep 10
2025-10-11 08:32:02,start,disk_io | PID=42564 | python stressors\disk_stress.py --size_mb 1000 --block_mb 5
2025-10-11 08:35:50,end,cpu_spike | PID=37284
2025-10-11 08:40:50,end,cpu_spike | PID=40908
2025-10-11 08:42:02,end,disk_io | PID=42564
2025-10-11 08:42:12,end,disk_io | PID=14932
2025-10-11 08:47:02,start,memory_load | PID=36232 | python stressors\mem_stress.py --step_mb 600 --steps 12 --sleep 10
2025-10-11 08:52:02,end,memory_load | PID=39016
2025-10-11 08:55:37,start,memory_load | PID=37608 | python stressors\mem_stress.py --step_mb 500 --steps 7 --sleep 10
2025-10-11 08:56:26,start,disk_io | PID=38088 | python stressors\disk_stress.py --size_mb 800 --block_mb 20
2025-10-11 08:59:26,start,disk_io | PID=42772 | python stressors\disk_stress.py --size_mb 1500 --block_mb 20
2025-10-11 08:59:26,start,disk_io | PID=34236 | python stressors\disk_stress.py --size_mb 800 --block_mb 10
2025-10-11 08:59:27,end,disk_io | PID=38088
2025-10-11 09:00:37,end,memory_load | PID=37608
2025-10-11 09:01:26,start,cpu_spike | PID=18612 | python stressors\cpu_stress.py --procs 8 --duration 180
2025-10-11 09:02:02,end,memory_load | PID=36232
2025-10-11 09:04:26,end,disk_io | PID=34236
2025-10-11 09:04:26,end,cpu_spike | PID=18612
2025-10-11 09:16:26,start,cpu_spike | PID=41448 | python stressors\cpu_stress.py --procs 4 --duration 300
2025-10-11 09:19:26,end,disk_io | PID=42772
2025-10-11 09:21:26,end,cpu_spike | PID=41448
2025-10-11 09:31:26,start,cpu_spike | PID=25976 | python stressors\cpu_stress.py --procs 10 --duration 300
2025-10-11 09:31:26,start,memory_load | PID=8208 | python stressors\mem_stress.py --step_mb 600 --steps 10 --sleep 10
2025-10-11 09:33:55,start,disk_io | PID=28872 | python stressors\disk_stress.py --size_mb 1000 --block_mb 10
2025-10-11 09:36:26,end,cpu_spike | PID=25976
2025-10-11 09:36:26,end,memory_load | PID=8208
2025-10-11 09:39:49,start,cpu_spike | PID=36308 | python stressors\cpu_stress.py --procs 8 --duration 180
2025-10-11 09:41:49,start,cpu_spike | PID=23192 | python stressors\cpu_stress.py --procs 10 --duration 180
2025-10-11 09:42:49,end,cpu_spike | PID=36308
2025-10-11 09:43:55,end,disk_io | PID=28872
2025-10-11 09:44:49,end,cpu_spike | PID=23192
2025-10-11 09:51:49,start,disk_io | PID=40712 | python stressors\disk_stress.py --size_mb 600 --block_mb 10
2025-10-11 09:51:49,start,memory_load | PID=26972 | python stressors\mem_stress.py --step_mb 400 --steps 12 --sleep 10
2025-10-11 10:06:49,end,memory_load | PID=26972
2025-10-11 10:11:49,end,disk_io | PID=40712
